ID,Age,Weight (kg),Breed,Symptoms,Previous Health Issues,Hydration (%),Heart Rate (bpm),Respiratory Rate (bpm),Temperature (°C),Environmental Exposure,Health Risk (%),Health Risk Level,Diagnosis,Potential Causes,Recommended Diet,Consult Vet
357,14,3.9,Ragdoll,Weight Loss,None,48,204,36,37.8,Indoor,68,High,Diabetes,Dust,"Wet food, Hydration",Yes
358,8,3.5,Maine Coon,"Loss of Appetite, Difficulty Breathing, Weight Loss",None,51,142,22,37.8,Outdoor,33,Moderate,Heart Disease,Genetic,High-protein Diet,No
359,9,4.5,Sphynx,None,Heart Condition,51,174,25,38.3,Both,50,Moderate,Gastrointestinal Issue,Age-related,Low-sodium Diet,No
360,11,4.7,Maine Coon,None,Heart Condition,64,210,25,38.2,Outdoor,30,Moderate,Kidney Failure,N/A,"Wet food, Hydration",No
361,9,6.8,Sphynx,"Difficulty Breathing, Vomiting, Loss of Appetite",Diabetes,59,214,35,39.3,Both,55,High,Kidney Failure,Age-related,High-protein Diet,Yes
362,7,6.4,Persian,"Loss of Appetite, Sneezing",Heart Condition,61,151,21,38.5,Outdoor,85,Severe,Diabetes,"Allergies, Dehydration",Balanced Diet,Yes
363,5,6.3,Bengal,None,Kidney Disease,71,157,34,38.4,Both,63,High,Gastrointestinal Issue,Dehydration,Diabetic-friendly Diet,Yes
364,13,3.5,Bengal,None,Arthritis,69,176,23,38.5,Outdoor,10,Low,Healthy,N/A,Diabetic-friendly Diet,No
365,5,4.0,Maine Coon,"Sneezing, Loss of Appetite",Obesity,64,213,27,39.2,Indoor,56,High,Respiratory Infection,"Dehydration, Age-related",High-protein Diet,Yes
366,4,4.9,Bengal,None,Obesity,54,190,24,37.7,Indoor,98,Severe,Kidney Failure,Genetic,Diabetic-friendly Diet,Yes
367,10,6.3,British Shorthair,"Lethargy, Loss of Appetite",Obesity,67,145,20,38.8,Both,13,Low,Healthy,N/A,"Wet food, Hydration",No
368,4,4.9,Scottish Fold,None,None,72,157,28,39.3,Outdoor,66,High,Respiratory Infection,Dust,Balanced Diet,Yes
369,1,6.3,Siamese,"Loss of Appetite, Sneezing",None,57,180,24,39.4,Indoor,48,Moderate,Kidney Failure,"Allergies, Age-related",Low-sodium Diet,No
370,12,5.3,Ragdoll,Loss of Appetite,Heart Condition,68,150,32,38.8,Indoor,8,Low,Healthy,N/A,Low-sodium Diet,No
371,5,4.1,British Shorthair,"Sneezing, Difficulty Breathing",Heart Condition,65,181,28,37.5,Indoor,81,Severe,Diabetes,"Genetic, Poor Diet",High-protein Diet,Yes
372,9,4.6,Siamese,None,Obesity,55,166,24,38.1,Outdoor,44,Moderate,Heart Disease,Stress,Renal Support Diet,No
373,6,3.3,Siamese,"Lethargy, None, Coughing",Obesity,48,177,24,37.5,Indoor,22,Moderate,Obesity,"Genetic, N/A",High-protein Diet,No
374,14,2.8,Persian,"Weight Loss, Loss of Appetite, None",Arthritis,62,169,39,38.1,Indoor,51,High,Healthy,N/A,Renal Support Diet,Yes
375,5,6.3,British Shorthair,None,Obesity,52,145,34,39.0,Both,24,Moderate,Heart Disease,"Age-related, Dehydration",Low-sodium Diet,No
376,6,3.2,Siamese,None,Obesity,53,213,34,39.1,Outdoor,63,High,Obesity,Stress,Low-sodium Diet,Yes
377,4,6.9,Ragdoll,"None, Loss of Appetite",Kidney Disease,57,142,25,39.7,Indoor,34,Moderate,Diabetes,"N/A, Age-related",High-protein Diet,No
378,8,5.8,Siamese,"Difficulty Breathing, Loss of Appetite, Coughing",Diabetes,67,206,26,39.7,Outdoor,45,Moderate,Obesity,"Poor Diet, Dust",Low-sodium Diet,No
379,3,3.3,Persian,Vomiting,Arthritis,57,147,26,38.4,Both,88,Severe,Heart Disease,Stress,Renal Support Diet,Yes
380,10,6.0,Bengal,"Coughing, Vomiting",None,70,192,23,39.9,Outdoor,85,Severe,Heart Disease,Genetic,Renal Support Diet,Yes
381,2,6.6,Maine Coon,Loss of Appetite,None,45,160,20,39.1,Both,68,High,Healthy,N/A,Balanced Diet,Yes
382,11,6.2,Sphynx,Coughing,Obesity,75,202,36,39.7,Indoor,9,Low,Healthy,N/A,Low-sodium Diet,No
383,8,6.8,Maine Coon,None,Heart Condition,58,188,31,38.1,Indoor,41,Moderate,Obesity,Age-related,High-protein Diet,No
384,11,3.6,Sphynx,"Weight Loss, Vomiting, None",Arthritis,74,182,31,38.3,Outdoor,92,Severe,Gastrointestinal Issue,Dehydration,Renal Support Diet,Yes
385,11,3.4,Scottish Fold,None,Kidney Disease,49,142,36,38.1,Both,85,Severe,Respiratory Infection,"N/A, Stress",High-protein Diet,Yes
386,3,6.9,Sphynx,Weight Loss,Arthritis,46,179,34,39.7,Indoor,79,High,Respiratory Infection,"Dehydration, Poor Diet",Renal Support Diet,Yes
387,6,4.4,Bengal,"Weight Loss, Vomiting",Kidney Disease,68,183,31,37.7,Both,41,Moderate,Diabetes,"Poor Diet, Age-related",Balanced Diet,No
388,4,4.2,Bengal,"None, Weight Loss",Kidney Disease,71,150,34,37.6,Indoor,59,High,Kidney Failure,N/A,"Wet food, Hydration",Yes
389,9,5.9,Persian,"Sneezing, None, Loss of Appetite",Kidney Disease,68,156,27,39.4,Outdoor,25,Moderate,Kidney Failure,"Age-related, Dehydration",Renal Support Diet,No
390,8,6.1,Siamese,None,Obesity,66,163,20,37.8,Both,55,High,Obesity,Poor Diet,High-protein Diet,Yes
391,4,5.9,Scottish Fold,"Coughing, None, Weight Loss",None,45,195,37,38.1,Outdoor,26,Moderate,Heart Disease,Dehydration,Diabetic-friendly Diet,No
392,4,4.1,Ragdoll,"Difficulty Breathing, Coughing, Sneezing",Diabetes,51,154,34,39.5,Indoor,80,High,Diabetes,"Allergies, Genetic",High-protein Diet,Yes
393,13,5.7,Persian,"Coughing, Difficulty Breathing, Loss of Appetite",Diabetes,52,194,28,39.6,Outdoor,75,High,Diabetes,N/A,Balanced Diet,Yes
394,9,6.3,Persian,Sneezing,Kidney Disease,70,186,22,38.2,Outdoor,57,High,Kidney Failure,"Age-related, N/A","Wet food, Hydration",Yes
395,9,4.0,Scottish Fold,"Lethargy, None, Coughing",Heart Condition,47,152,33,39.5,Outdoor,79,High,Gastrointestinal Issue,Dehydration,Balanced Diet,Yes
396,8,3.6,Ragdoll,"Lethargy, Sneezing, Weight Loss",Obesity,50,169,37,38.6,Outdoor,39,Moderate,Obesity,Dehydration,Low-sodium Diet,No
397,5,6.1,Scottish Fold,Sneezing,Obesity,51,166,37,38.5,Outdoor,35,Moderate,Heart Disease,Poor Diet,"Wet food, Hydration",No
398,12,3.7,Ragdoll,"Weight Loss, Lethargy, Sneezing",Heart Condition,59,158,30,38.6,Indoor,94,Severe,Diabetes,"Stress, Allergies",High-protein Diet,Yes
399,4,6.4,Bengal,"Lethargy, Difficulty Breathing, None",Obesity,63,186,39,38.3,Outdoor,43,Moderate,Diabetes,N/A,High-protein Diet,No
400,2,2.7,Siamese,"Lethargy, Weight Loss, Loss of Appetite",Heart Condition,65,152,36,38.6,Outdoor,98,Severe,Gastrointestinal Issue,"Genetic, N/A",High-protein Diet,Yes
401,5,4.9,Sphynx,"Sneezing, Lethargy, Coughing",Kidney Disease,60,219,25,38.9,Indoor,80,High,Respiratory Infection,"Allergies, Stress","Wet food, Hydration",Yes
402,9,3.7,Siamese,"Difficulty Breathing, Vomiting",Heart Condition,70,191,31,40.0,Outdoor,82,Severe,Gastrointestinal Issue,"Age-related, Dehydration",Renal Support Diet,Yes
403,1,3.4,Sphynx,"Weight Loss, Vomiting",Arthritis,55,219,39,39.5,Indoor,78,High,Diabetes,Dust,High-protein Diet,Yes
404,4,3.8,Siamese,None,Kidney Disease,64,140,28,38.6,Both,46,Moderate,Kidney Failure,"Dehydration, Poor Diet",High-protein Diet,No
405,12,3.9,Bengal,"Loss of Appetite, Vomiting",Kidney Disease,75,155,21,37.9,Outdoor,88,Severe,Heart Disease,Dust,High-protein Diet,Yes
406,1,4.4,Sphynx,None,Obesity,54,207,29,39.1,Indoor,66,High,Respiratory Infection,"N/A, Stress",Low-sodium Diet,Yes
407,15,4.6,Maine Coon,Coughing,Heart Condition,45,194,40,38.6,Outdoor,65,High,Respiratory Infection,N/A,Renal Support Diet,Yes
408,3,3.5,Persian,"Lethargy, Coughing, Loss of Appetite",Kidney Disease,68,154,30,39.5,Outdoor,2,Low,Healthy,N/A,Renal Support Diet,No
409,14,4.9,Sphynx,"Lethargy, Vomiting",None,74,202,20,39.6,Outdoor,84,Severe,Respiratory Infection,Age-related,"Wet food, Hydration",Yes
410,6,5.4,British Shorthair,Difficulty Breathing,None,54,164,22,37.7,Both,2,Low,Healthy,N/A,High-protein Diet,No
411,1,3.9,British Shorthair,None,None,46,142,35,39.2,Outdoor,96,Severe,Heart Disease,Dehydration,High-protein Diet,Yes
412,4,6.6,Siamese,"Coughing, Difficulty Breathing, Loss of Appetite",Arthritis,57,198,35,39.7,Outdoor,40,Moderate,Diabetes,"Poor Diet, Dehydration",Renal Support Diet,No
413,10,3.8,Sphynx,Weight Loss,Obesity,48,184,24,39.6,Both,65,High,Heart Disease,Poor Diet,High-protein Diet,Yes
414,9,3.5,Sphynx,"Vomiting, Difficulty Breathing",Arthritis,49,166,26,39.5,Outdoor,6,Low,Healthy,N/A,High-protein Diet,No
415,11,4.9,Scottish Fold,Coughing,Kidney Disease,67,177,36,38.5,Both,41,Moderate,Kidney Failure,"Allergies, Age-related",Low-sodium Diet,No
416,12,4.3,Sphynx,None,None,60,143,35,37.5,Indoor,18,Low,Healthy,N/A,Diabetic-friendly Diet,No
417,10,4.2,Sphynx,"None, Sneezing, Coughing",Obesity,51,141,22,39.2,Indoor,100,Severe,Diabetes,"Stress, Age-related",Low-sodium Diet,Yes
418,2,4.6,British Shorthair,"Sneezing, Vomiting",Kidney Disease,75,172,20,38.7,Indoor,7,Low,Healthy,N/A,"Wet food, Hydration",No
419,1,4.8,Maine Coon,None,None,67,186,22,38.3,Both,29,Moderate,Kidney Failure,"Dehydration, Stress",High-protein Diet,No
420,2,3.6,Scottish Fold,None,Kidney Disease,75,143,38,37.7,Both,9,Low,Healthy,N/A,Balanced Diet,No
421,8,2.8,Scottish Fold,"Coughing, Weight Loss",Obesity,48,141,40,39.9,Outdoor,12,Low,Healthy,N/A,High-protein Diet,No
422,13,3.8,Scottish Fold,"Weight Loss, Sneezing, Difficulty Breathing",Diabetes,50,170,33,37.8,Outdoor,5,Low,Healthy,N/A,Low-sodium Diet,No
423,2,6.1,Ragdoll,"Loss of Appetite, Weight Loss",None,65,199,34,37.5,Both,36,Moderate,Diabetes,Genetic,Renal Support Diet,No
424,15,6.8,British Shorthair,"Sneezing, Loss of Appetite",None,63,208,31,38.0,Both,96,Severe,Diabetes,"Poor Diet, Dehydration",Renal Support Diet,Yes
425,12,6.2,Bengal,None,None,52,160,26,38.7,Outdoor,39,Moderate,Diabetes,"Genetic, Age-related","Wet food, Hydration",No
426,3,4.3,Maine Coon,Lethargy,Obesity,59,209,32,38.1,Indoor,72,High,Obesity,"N/A, Poor Diet",Balanced Diet,Yes
427,3,3.7,Maine Coon,Weight Loss,Arthritis,72,152,21,39.4,Both,19,Low,Healthy,N/A,Renal Support Diet,No
428,15,4.4,British Shorthair,"Weight Loss, Vomiting",Obesity,74,149,27,38.3,Both,59,High,Respiratory Infection,Age-related,Diabetic-friendly Diet,Yes
429,14,5.8,Maine Coon,Weight Loss,Kidney Disease,73,159,34,38.8,Outdoor,44,Moderate,Heart Disease,"N/A, Allergies",High-protein Diet,No
430,10,5.6,Maine Coon,"Sneezing, Lethargy, Coughing",None,70,181,23,37.8,Outdoor,42,Moderate,Diabetes,Dust,Diabetic-friendly Diet,No
431,11,2.8,British Shorthair,"Vomiting, Loss of Appetite",Obesity,62,217,26,38.5,Indoor,43,Moderate,Heart Disease,"Allergies, Dehydration","Wet food, Hydration",No
432,9,2.7,Bengal,"None, Coughing",Kidney Disease,75,178,26,37.5,Both,5,Low,Healthy,N/A,Renal Support Diet,No
433,12,4.2,Persian,"Vomiting, Difficulty Breathing, None",Arthritis,57,207,21,38.8,Outdoor,100,Severe,Diabetes,Poor Diet,Renal Support Diet,Yes
434,15,5.0,Scottish Fold,"Sneezing, Lethargy",None,49,180,30,39.8,Both,30,Moderate,Obesity,Age-related,Balanced Diet,No
435,6,6.5,Siamese,None,Arthritis,67,176,31,38.6,Outdoor,40,Moderate,Diabetes,"Allergies, Dehydration",High-protein Diet,No
436,7,6.9,Scottish Fold,Coughing,Obesity,63,207,23,37.8,Outdoor,40,Moderate,Healthy,N/A,Low-sodium Diet,No
437,15,5.6,Maine Coon,"Coughing, Difficulty Breathing",Kidney Disease,60,208,27,37.6,Outdoor,18,Low,Healthy,N/A,Renal Support Diet,No
438,2,6.4,Persian,None,None,57,204,21,39.7,Indoor,53,High,Gastrointestinal Issue,"Genetic, Age-related",Low-sodium Diet,Yes
439,4,2.8,Sphynx,Lethargy,Diabetes,57,144,21,38.6,Both,41,Moderate,Diabetes,Stress,Balanced Diet,No
440,14,3.1,Persian,"Sneezing, Lethargy, Loss of Appetite",Arthritis,52,201,38,39.0,Outdoor,49,Moderate,Obesity,"Allergies, Age-related",High-protein Diet,No
441,13,6.7,Maine Coon,None,Arthritis,53,191,32,39.2,Both,74,High,Respiratory Infection,Dehydration,"Wet food, Hydration",Yes
442,9,6.7,Bengal,"Difficulty Breathing, Vomiting, Sneezing",Obesity,62,167,21,37.6,Both,96,Severe,Respiratory Infection,"Dust, N/A",Low-sodium Diet,Yes
443,7,6.5,Siamese,"Weight Loss, Coughing",None,65,214,36,38.8,Indoor,74,High,Gastrointestinal Issue,"Age-related, Stress","Wet food, Hydration",Yes
444,8,3.4,Maine Coon,"Coughing, Difficulty Breathing",Kidney Disease,74,167,25,39.1,Indoor,33,Moderate,Respiratory Infection,"Genetic, Age-related","Wet food, Hydration",No
445,15,6.6,Maine Coon,Weight Loss,Kidney Disease,66,145,35,38.5,Outdoor,61,High,Obesity,"Dehydration, Poor Diet","Wet food, Hydration",Yes
446,2,5.6,British Shorthair,"None, Weight Loss",Kidney Disease,52,205,33,37.5,Outdoor,54,High,Diabetes,Poor Diet,Diabetic-friendly Diet,Yes
447,15,5.9,Siamese,None,Heart Condition,71,193,31,39.4,Indoor,76,High,Obesity,"Allergies, Stress","Wet food, Hydration",Yes
448,11,6.4,Sphynx,"Vomiting, Weight Loss",Obesity,60,182,34,38.1,Indoor,81,Severe,Diabetes,Poor Diet,"Wet food, Hydration",Yes
449,14,6.9,Scottish Fold,"Vomiting, Loss of Appetite, Sneezing",Diabetes,63,181,34,38.0,Both,56,High,Kidney Failure,"Poor Diet, Genetic","Wet food, Hydration",Yes
450,3,3.0,Ragdoll,"Coughing, Sneezing, Lethargy",None,52,167,30,39.3,Outdoor,35,Moderate,Gastrointestinal Issue,Stress,"Wet food, Hydration",No
451,4,6.7,Ragdoll,"Loss of Appetite, Weight Loss",None,47,183,21,39.8,Both,64,High,Gastrointestinal Issue,"Allergies, Age-related",Balanced Diet,Yes
452,4,3.9,Scottish Fold,"None, Loss of Appetite, Vomiting",Diabetes,49,201,24,39.0,Indoor,93,Severe,Diabetes,"Age-related, Poor Diet",Diabetic-friendly Diet,Yes
453,4,3.6,Siamese,"Coughing, Lethargy",None,49,181,38,39.2,Outdoor,82,Severe,Kidney Failure,"Allergies, Stress",Diabetic-friendly Diet,Yes
454,9,5.5,Persian,Weight Loss,None,55,162,26,39.5,Indoor,4,Low,Healthy,N/A,Diabetic-friendly Diet,No
455,11,4.6,Scottish Fold,Coughing,Obesity,66,204,35,39.4,Indoor,17,Low,Healthy,N/A,"Wet food, Hydration",No
456,12,3.0,Bengal,"Loss of Appetite, Lethargy, Difficulty Breathing",Obesity,45,220,23,39.9,Both,75,High,Respiratory Infection,"Dust, Stress",Diabetic-friendly Diet,Yes
457,3,3.1,Scottish Fold,"Loss of Appetite, Lethargy",Obesity,69,192,32,38.4,Outdoor,6,Low,Healthy,N/A,Renal Support Diet,No
458,1,2.6,Siamese,"Sneezing, Lethargy, Difficulty Breathing",Arthritis,68,199,34,37.8,Both,96,Severe,Obesity,"Poor Diet, Age-related",Low-sodium Diet,Yes
459,10,6.0,Ragdoll,"Weight Loss, Loss of Appetite, Difficulty Breathing",Diabetes,62,208,21,38.6,Outdoor,50,Moderate,Respiratory Infection,Age-related,"Wet food, Hydration",No
460,3,3.6,Sphynx,"Loss of Appetite, Lethargy",None,53,170,35,37.6,Indoor,62,High,Heart Disease,"Poor Diet, Stress",Diabetic-friendly Diet,Yes
461,7,7.0,Sphynx,"Vomiting, Weight Loss",Obesity,62,188,24,38.5,Indoor,79,High,Diabetes,Allergies,Low-sodium Diet,Yes
462,4,4.6,Ragdoll,"Difficulty Breathing, Weight Loss",None,48,218,39,38.7,Indoor,35,Moderate,Respiratory Infection,"Age-related, Poor Diet",Diabetic-friendly Diet,No
463,9,5.0,Persian,None,Obesity,74,161,23,38.3,Both,89,Severe,Heart Disease,"Poor Diet, Dust",Diabetic-friendly Diet,Yes
464,3,5.1,British Shorthair,Coughing,Kidney Disease,47,182,24,38.0,Both,81,Severe,Heart Disease,Poor Diet,Balanced Diet,Yes
465,2,3.7,Scottish Fold,"Sneezing, Lethargy, Difficulty Breathing",Obesity,71,181,22,39.2,Outdoor,46,Moderate,Heart Disease,Stress,Renal Support Diet,No
466,9,6.2,Scottish Fold,None,Diabetes,52,190,21,38.2,Indoor,71,High,Diabetes,Allergies,Renal Support Diet,Yes
467,14,2.9,Persian,Vomiting,None,61,140,31,37.6,Outdoor,7,Low,Healthy,N/A,"Wet food, Hydration",No
468,1,4.9,Siamese,None,Diabetes,49,205,38,37.6,Outdoor,14,Low,Healthy,N/A,Diabetic-friendly Diet,No
469,7,6.9,Bengal,None,None,47,208,40,38.8,Both,56,High,Heart Disease,Genetic,Renal Support Diet,Yes
470,1,5.0,Maine Coon,"Coughing, Sneezing",Obesity,67,217,37,38.3,Outdoor,41,Moderate,Obesity,"Poor Diet, Dehydration","Wet food, Hydration",No
471,7,3.9,Sphynx,"Loss of Appetite, Lethargy",Diabetes,51,179,24,38.3,Both,77,High,Healthy,N/A,"Wet food, Hydration",Yes
472,3,4.8,Maine Coon,None,Arthritis,57,168,36,38.3,Both,23,Moderate,Kidney Failure,"Genetic, Age-related",Low-sodium Diet,No
473,12,3.9,Sphynx,Loss of Appetite,Obesity,51,196,29,38.9,Outdoor,86,Severe,Kidney Failure,"Dust, N/A",Low-sodium Diet,Yes
474,4,4.2,Ragdoll,"Sneezing, Weight Loss, Coughing",Arthritis,69,174,32,37.5,Outdoor,6,Low,Healthy,N/A,Low-sodium Diet,No
475,4,4.2,Bengal,"Coughing, None, Sneezing",Kidney Disease,69,195,24,37.7,Indoor,96,Severe,Healthy,N/A,"Wet food, Hydration",Yes
476,14,3.2,Persian,"Lethargy, Loss of Appetite",Kidney Disease,70,176,36,39.1,Both,38,Moderate,Gastrointestinal Issue,Poor Diet,"Wet food, Hydration",No
477,4,6.0,British Shorthair,None,None,60,189,38,39.4,Both,41,Moderate,Respiratory Infection,Age-related,"Wet food, Hydration",No
478,4,6.2,Maine Coon,Loss of Appetite,Diabetes,57,165,35,38.8,Indoor,1,Low,Healthy,N/A,High-protein Diet,No
479,15,2.7,Bengal,Lethargy,Obesity,64,213,23,39.6,Indoor,88,Severe,Kidney Failure,"Genetic, Dust",Balanced Diet,Yes
480,15,4.1,Scottish Fold,Lethargy,None,48,214,32,39.8,Both,96,Severe,Obesity,"Dehydration, N/A",Diabetic-friendly Diet,Yes
481,12,4.9,Bengal,"Vomiting, Sneezing, Difficulty Breathing",None,64,215,33,39.2,Outdoor,36,Moderate,Obesity,"Poor Diet, Dust",Renal Support Diet,No
482,5,5.5,Sphynx,"None, Coughing, Weight Loss",None,47,148,26,39.8,Both,85,Severe,Diabetes,Dust,Low-sodium Diet,Yes
483,12,6.8,Bengal,Vomiting,Kidney Disease,56,140,32,38.1,Outdoor,62,High,Heart Disease,"Genetic, Stress",Diabetic-friendly Diet,Yes
484,11,4.7,Siamese,None,Heart Condition,48,158,24,39.8,Both,90,Severe,Gastrointestinal Issue,"Age-related, Allergies",Low-sodium Diet,Yes
485,15,4.3,British Shorthair,"Weight Loss, Loss of Appetite",Diabetes,50,208,22,37.9,Outdoor,12,Low,Healthy,N/A,Low-sodium Diet,No
486,4,5.4,Maine Coon,None,Obesity,55,202,20,38.3,Outdoor,97,Severe,Respiratory Infection,"N/A, Age-related",Low-sodium Diet,Yes
487,6,5.3,Scottish Fold,"None, Difficulty Breathing, Vomiting",Kidney Disease,71,178,36,39.1,Both,64,High,Gastrointestinal Issue,"N/A, Genetic",High-protein Diet,Yes
488,14,5.4,Bengal,"Lethargy, Sneezing, Vomiting",None,60,179,27,37.6,Both,65,High,Obesity,"Dehydration, Dust","Wet food, Hydration",Yes
489,11,4.7,British Shorthair,"Loss of Appetite, Coughing",Diabetes,63,163,34,40.0,Both,77,High,Heart Disease,Stress,"Wet food, Hydration",Yes
490,14,2.7,Scottish Fold,"None, Weight Loss",Obesity,52,188,21,39.6,Outdoor,14,Low,Healthy,N/A,Diabetic-friendly Diet,No
491,10,4.1,Maine Coon,Sneezing,Kidney Disease,62,197,34,39.2,Both,48,Moderate,Obesity,"Genetic, Poor Diet",High-protein Diet,No
492,12,2.7,Persian,Vomiting,Obesity,62,189,33,38.3,Both,79,High,Heart Disease,Stress,Renal Support Diet,Yes
493,14,5.8,Siamese,"Sneezing, Coughing, None",Obesity,59,209,39,39.4,Outdoor,65,High,Diabetes,Age-related,"Wet food, Hydration",Yes
494,15,2.5,Scottish Fold,Coughing,Diabetes,55,180,40,39.5,Indoor,13,Low,Healthy,N/A,Renal Support Diet,No
495,7,7.0,Scottish Fold,None,None,72,151,30,38.8,Indoor,70,High,Healthy,N/A,Balanced Diet,Yes
496,3,2.8,Maine Coon,None,Kidney Disease,71,145,36,38.4,Indoor,84,Severe,Obesity,"Stress, Dust",Renal Support Diet,Yes
497,15,4.4,Sphynx,None,None,72,210,39,38.3,Outdoor,87,Severe,Obesity,"Genetic, Poor Diet",Renal Support Diet,Yes
498,7,3.6,Maine Coon,"Weight Loss, Coughing",None,66,202,24,38.8,Outdoor,91,Severe,Gastrointestinal Issue,Stress,High-protein Diet,Yes
499,5,4.2,Siamese,"Vomiting, None, Coughing",Diabetes,46,176,39,38.5,Both,86,Severe,Healthy,N/A,Renal Support Diet,Yes
500,1,5.0,Maine Coon,"Difficulty Breathing, None, Sneezing",Heart Condition,68,198,23,38.9,Outdoor,47,Moderate,Respiratory Infection,"N/A, Dehydration",Diabetic-friendly Diet,No
501,7,5.9,Bengal,Weight Loss,Arthritis,58,177,39,38.1,Indoor,23,Moderate,Obesity,Poor Diet,High-protein Diet,No
502,14,6.7,Siamese,Vomiting,Heart Condition,59,156,37,38.6,Both,21,Moderate,Diabetes,Poor Diet,Low-sodium Diet,No
503,9,6.2,Scottish Fold,None,Obesity,62,146,29,38.8,Outdoor,37,Moderate,Respiratory Infection,Dust,Renal Support Diet,No
504,1,4.0,Ragdoll,Loss of Appetite,None,48,157,27,39.8,Indoor,56,High,Heart Disease,"Allergies, Dust",Renal Support Diet,Yes
505,6,6.5,British Shorthair,"Difficulty Breathing, Sneezing",Kidney Disease,69,190,40,39.3,Both,25,Moderate,Gastrointestinal Issue,"Genetic, Dehydration",Balanced Diet,No
506,12,3.5,Scottish Fold,None,Kidney Disease,50,157,20,39.0,Indoor,10,Low,Healthy,N/A,Balanced Diet,No
507,7,6.7,Scottish Fold,None,Obesity,74,156,40,39.5,Outdoor,71,High,Diabetes,Dehydration,Renal Support Diet,Yes
508,15,3.9,Maine Coon,None,Heart Condition,67,146,37,39.5,Outdoor,61,High,Obesity,Stress,Low-sodium Diet,Yes
509,4,3.8,Maine Coon,None,Heart Condition,66,207,36,38.2,Both,57,High,Respiratory Infection,Dust,Balanced Diet,Yes
510,3,3.5,British Shorthair,"Difficulty Breathing, Vomiting",Arthritis,71,147,28,39.0,Outdoor,75,High,Obesity,Poor Diet,"Wet food, Hydration",Yes
511,14,3.8,British Shorthair,None,Kidney Disease,69,218,35,39.1,Indoor,66,High,Respiratory Infection,Age-related,Balanced Diet,Yes
512,11,6.6,Bengal,None,Kidney Disease,50,198,38,38.0,Indoor,3,Low,Healthy,N/A,High-protein Diet,No
513,12,4.8,Scottish Fold,"Difficulty Breathing, Vomiting, Lethargy",Arthritis,72,175,36,38.0,Both,3,Low,Healthy,N/A,Diabetic-friendly Diet,No
514,7,4.8,Sphynx,None,Arthritis,65,167,23,37.7,Both,11,Low,Healthy,N/A,High-protein Diet,No
515,15,5.1,Ragdoll,"Sneezing, Loss of Appetite",Kidney Disease,46,212,21,39.8,Outdoor,0,Low,Healthy,N/A,"Wet food, Hydration",No
516,8,5.9,British Shorthair,Coughing,Obesity,54,188,35,39.0,Both,72,High,Obesity,"Poor Diet, Age-related",Low-sodium Diet,Yes
517,3,5.3,Sphynx,"Coughing, Weight Loss",Kidney Disease,66,153,40,39.9,Outdoor,44,Moderate,Diabetes,"Genetic, Allergies",Renal Support Diet,No
518,14,3.9,Bengal,None,Kidney Disease,46,151,38,39.8,Outdoor,44,Moderate,Gastrointestinal Issue,"Age-related, Dust",Low-sodium Diet,No
519,1,4.4,Persian,"Lethargy, None",Obesity,53,186,21,39.0,Indoor,53,High,Obesity,Dust,High-protein Diet,Yes
520,9,3.1,Maine Coon,Lethargy,Obesity,72,156,28,38.4,Both,10,Low,Healthy,N/A,Renal Support Diet,No
521,15,4.1,Scottish Fold,"Weight Loss, Coughing, Lethargy",Kidney Disease,67,141,39,37.6,Indoor,12,Low,Healthy,N/A,Balanced Diet,No
522,2,4.7,Bengal,None,Kidney Disease,68,211,29,39.5,Indoor,74,High,Respiratory Infection,"Genetic, Stress",Diabetic-friendly Diet,Yes
523,6,6.6,Maine Coon,None,Arthritis,70,177,39,37.7,Both,12,Low,Healthy,N/A,Low-sodium Diet,No
524,4,5.4,Siamese,None,Diabetes,51,158,40,39.5,Outdoor,37,Moderate,Obesity,"Poor Diet, Allergies",High-protein Diet,No
525,5,5.5,Ragdoll,"None, Vomiting, Difficulty Breathing",None,62,210,26,38.0,Indoor,58,High,Kidney Failure,"Dehydration, Age-related","Wet food, Hydration",Yes
526,11,3.3,Ragdoll,"Weight Loss, None, Loss of Appetite",None,74,203,28,39.2,Both,11,Low,Healthy,N/A,"Wet food, Hydration",No
527,15,5.5,Ragdoll,"Weight Loss, Coughing",Kidney Disease,45,160,40,38.9,Both,37,Moderate,Kidney Failure,"Poor Diet, Dehydration","Wet food, Hydration",No
528,10,5.5,British Shorthair,"Lethargy, Weight Loss",Diabetes,47,150,32,38.0,Both,15,Low,Healthy,N/A,High-protein Diet,No
529,12,5.7,Maine Coon,Lethargy,Arthritis,74,160,23,37.8,Indoor,8,Low,Healthy,N/A,High-protein Diet,No
530,13,4.3,Sphynx,None,Heart Condition,68,203,20,39.0,Indoor,88,Severe,Kidney Failure,"Allergies, Stress",Renal Support Diet,Yes
531,15,4.6,British Shorthair,Sneezing,Heart Condition,69,182,31,38.1,Outdoor,60,High,Obesity,N/A,"Wet food, Hydration",Yes
532,2,3.8,Siamese,"Weight Loss, Loss of Appetite, Sneezing",None,63,214,20,38.4,Both,70,High,Healthy,N/A,"Wet food, Hydration",Yes
533,14,5.2,Ragdoll,"Loss of Appetite, Lethargy",Diabetes,71,198,20,39.9,Indoor,71,High,Heart Disease,N/A,Diabetic-friendly Diet,Yes
534,10,5.1,Ragdoll,"Sneezing, Coughing, Loss of Appetite",Obesity,63,143,39,38.3,Outdoor,2,Low,Healthy,N/A,Diabetic-friendly Diet,No
